iter	RMSE
0	3723.975144
1	3435.617193
2	3176.348522
3	2931.155923
4	2713.087017
5	2509.766791
6	2329.118735
7	2166.443744
8	2013.509037
9	1874.994019
10	1749.672284
11	1638.201153
12	1536.720251
13	1443.686446
14	1358.094195
15	1280.897047
16	1213.671499
17	1151.510955
18	1094.013825
19	1045.800484
20	999.8488812
21	959.6373896
22	924.1880043
23	893.1194189
24	863.6743577
25	838.7524616
26	815.2640985
27	794.1433183
28	774.2496644
29	757.3978635
30	743.4054452
31	730.1935892
32	718.2213419
33	708.1169214
34	698.3530943
35	690.6152436
36	682.5351221
37	675.2308888
38	669.0538656
39	663.5749583
40	658.1243752
41	653.8714435
42	649.5231057
43	645.37187
44	641.5899181
45	638.2442003
46	635.4188798
47	632.465707
48	629.9294733
49	627.8003247
50	625.2456264
51	623.4149675
52	621.5167272
53	620.0765349
54	618.1319639
55	616.7161389
56	615.074908
57	613.7882743
58	612.4988286
59	611.2792535
60	609.9822331
61	609.0313847
62	607.6898551
63	606.7874684
64	605.9229538
65	605.3898509
66	604.7512594
67	603.5885128
68	603.0344897
69	602.3651168
70	601.4424918
71	600.8885906
72	600.2333392
73	599.6726777
74	599.0095675
75	598.5255465
76	598.0566872
77	597.3358404
78	596.715795
79	596.3300058
80	595.7912685
81	595.1799174
82	594.8034945
83	594.0489673
84	593.3570663
85	592.9012692
86	592.5793671
87	592.1092793
88	591.792166
89	591.4853363
90	591.0447348
91	590.833772
92	590.5954505
93	590.4095562
94	589.8581283
95	589.5437405
96	589.3547274
97	589.1655942
98	588.8101033
99	588.6077923
100	588.2900406
101	588.055041
102	587.7732291
103	587.4792176
104	587.3391391
105	587.0074408
106	586.5571135
107	586.3912224
108	586.0443855
109	585.7727079
110	585.601584
111	585.2395759
112	584.9565088
113	584.6766537
114	584.4493382
115	584.2822443
116	584.1231264
117	584.0177896
118	583.8998619
119	583.5617222
120	583.3484297
121	583.2285567
122	582.9600641
123	582.6884217
124	582.5418052
125	582.1843627
126	581.9341052
127	581.7930798
128	581.4705308
129	581.2763874
130	581.102134
131	581.0093458
132	580.8832659
133	580.5982567
134	580.3819625
135	580.186774
136	580.0210397
137	579.8730038
138	579.673956
139	579.5362374
140	579.3803811
141	579.2643222
142	579.1203895
143	579.0167055
144	578.8676095
145	578.7641512
146	578.5969782
147	578.3963658
148	578.1971564
149	578.0694837
150	577.9159303
151	577.6607066
152	577.5207126
153	577.3766325
154	577.2186091
155	577.0736318
156	576.9574226
157	576.8294148
158	576.6483998
159	576.5279081
160	576.4054595
161	576.2992415
162	576.1676737
163	576.061804
164	575.9579158
165	575.8584608
166	575.6737108
167	575.5960164
168	575.5273687
169	575.4060619
170	575.2255826
171	575.0603396
172	574.9437573
173	574.8424171
174	574.7656071
175	574.6815189
176	574.5675542
177	574.3963344
178	574.2366558
179	574.1205968
180	574.0099758
181	573.877169
182	573.7494591
183	573.6342792
184	573.4900708
185	573.401585
186	573.3327683
187	573.2431365
188	573.1375304
189	573.0381556
190	572.9133401
191	572.8067265
192	572.7116864
193	572.649323
194	572.5697454
195	572.4385228
196	572.348764
197	572.1856163
198	572.0999914
199	572.0113362
200	571.9441815
201	571.8209643
202	571.7065768
203	571.51389
204	571.3912234
205	571.2912346
206	571.2694827
207	571.1908229
208	571.127491
209	571.048414
210	570.9533388
211	570.8848445
212	570.7887858
213	570.7373597
214	570.6505801
215	570.5629774
216	570.4424534
217	570.3476191
218	570.1989607
219	570.1067096
220	570.0025872
221	569.9435423
222	569.8747
223	569.804542
224	569.6575296
225	569.5728093
226	569.442782
227	569.3369198
228	569.2577365
229	569.1931946
230	569.1466064
231	569.1028782
232	569.080035
233	568.9402561
234	568.7959487
235	568.7570334
236	568.7201921
237	568.6052897
238	568.4265785
239	568.3603607
240	568.2851663
241	568.2136052
242	568.1020947
243	568.0632907
244	568.0235413
245	567.9449568
246	567.8760718
247	567.6920717
248	567.6005047
249	567.5281312
250	567.4301187
251	567.22659
252	567.0535013
253	566.8909472
254	566.8598697
255	566.8236283
256	566.7333732
257	566.6723123
258	566.5987719
259	566.4103323
260	566.3475614
261	566.2910869
262	566.2537331
263	566.1131548
264	566.0424658
265	565.8735045
266	565.8010497
267	565.7647394
268	565.6119197
269	565.4892623
270	565.4313855
271	565.3199537
272	565.2751356
273	565.2308612
274	565.145823
275	564.9630936
276	564.9052843
277	564.7615023
278	564.6717096
279	564.5612443
280	564.4328864
281	564.3395766
282	564.2966625
283	564.1269148
284	564.0203813
285	563.945328
286	563.9201267
287	563.8702595
288	563.8074462
289	563.7685111
290	563.6374351
291	563.5868976
292	563.4920067
293	563.4348819
294	563.402459
295	563.3705892
296	563.3455974
297	563.288636
298	563.2756054
299	563.2442471
300	563.1701333
301	563.1055307
302	563.0428168
303	563.038327
304	562.9837846
305	562.8763348
306	562.8470327
307	562.7285798
308	562.6138819
309	562.6039291
310	562.5776121
311	562.4368913
312	562.3817979
313	562.3415742
314	562.2816661
315	562.2060995
316	562.089952
317	562.0460045
318	562.0293313
319	561.9684938
320	561.906086
321	561.8772419
322	561.7905449
323	561.7157389
324	561.6445625
325	561.5710098
326	561.5130482
327	561.4207822
328	561.3674306
329	561.2040628
330	561.1026497
331	561.094539
332	561.0860535
333	561.0345349
334	560.8783369
335	560.7587035
336	560.7516896
337	560.6532929
338	560.5846769
339	560.5048217
340	560.4233219
341	560.4060095
342	560.316316
343	560.2943961
344	560.2025529
345	560.1591912
346	560.0393503
347	559.9810554
348	559.9446248
349	559.8691
350	559.8201448
351	559.7160291
352	559.5975043
353	559.5114018
354	559.4063619
355	559.3542801
356	559.3002374
357	559.257226
358	559.1915407
359	559.0784723
360	559.0338196
361	558.9735356
362	558.9155978
363	558.8169151
364	558.7734451
365	558.6891652
366	558.5624623
367	558.4472928
368	558.3865715
369	558.3207323
370	558.2911368
371	558.2383431
372	558.116179
373	558.0142904
374	557.9699092
375	557.8997805
376	557.8661949
377	557.8446141
378	557.7394302
379	557.6632027
380	557.5792953
381	557.4532305
382	557.3797312
383	557.3110833
384	557.2871887
385	557.2325819
386	557.1859075
387	557.1081525
388	557.0857423
389	556.9964409
390	556.8564953
391	556.8542315
392	556.7928156
393	556.7325484
394	556.6449071
395	556.5430096
396	556.413329
397	556.3085405
398	556.249485
399	556.2099089
400	556.1389823
401	556.0925205
402	556.0420598
403	555.9670324
404	555.9116657
405	555.8812368
406	555.8792223
407	555.8529009
408	555.7264191
409	555.5680199
410	555.5455564
411	555.4772511
412	555.4193309
413	555.3202704
414	555.224772
415	555.1803016
416	555.1384207
417	555.0528424
418	555.0510344
419	555.0394401
420	555.0155806
421	554.8925736
422	554.8621552
423	554.7706592
424	554.7122534
425	554.6587869
426	554.6187319
427	554.5831879
428	554.5335173
429	554.4853125
430	554.3558595
431	554.3107567
432	554.2525432
433	554.1351942
434	554.0834731
435	553.9802153
436	553.8349194
437	553.7634704
438	553.7022492
439	553.573071
440	553.4942823
441	553.4225525
442	553.3527268
443	553.2230407
444	553.2011603
445	553.1395561
446	553.1000516
447	553.0116663
448	552.9395877
449	552.9124695
450	552.7901139
451	552.7205689
452	552.65918
453	552.542746
454	552.5410183
455	552.4020984
456	552.3545172
457	552.3441903
458	552.2757589
459	552.2137075
460	552.1730096
461	552.1410208
462	552.0744795
463	552.0165649
464	551.9471923
465	551.8466869
466	551.8190641
467	551.7870442
468	551.6233015
469	551.5966048
470	551.4954027
471	551.4092335
472	551.350397
473	551.3267345
474	551.2870096
475	551.2247163
476	551.1964335
477	551.1349703
478	551.0382273
479	550.9240073
480	550.8600066
481	550.850878
482	550.8502313
483	550.788192
484	550.6876702
485	550.6114682
486	550.5893144
487	550.5285793
488	550.5207757
489	550.4749952
490	550.3638045
491	550.2998287
492	550.2163977
493	550.1341535
494	550.0794976
495	550.0288385
496	549.9839029
497	549.9252256
498	549.8674545
499	549.8361134
500	549.805254
501	549.7890127
502	549.6695371
503	549.5980353
504	549.5697727
505	549.5131507
506	549.465835
507	549.4208007
508	549.3633889
509	549.2496572
510	549.1914566
511	549.1904518
512	549.1456376
513	549.0920864
514	549.0664085
515	549.0386295
516	548.9277905
517	548.9268747
518	548.8814341
519	548.8198459
520	548.7680438
521	548.6910646
522	548.5981178
523	548.5221565
524	548.4747609
525	548.4738989
526	548.3605215
527	548.2386957
528	548.1784544
529	548.1344047
530	548.1040804
531	548.0739873
532	548.0183697
533	547.946736
534	547.9204613
535	547.8654357
536	547.8435101
537	547.7784684
538	547.7128486
539	547.6424763
540	547.6068579
541	547.5401475
542	547.4867431
543	547.4424483
544	547.4153267
545	547.334465
546	547.2905337
547	547.2332746
548	547.1916537
549	547.1400883
550	547.0527629
551	546.9682073
552	546.9273302
553	546.9059824
554	546.8728286
555	546.810386
556	546.7313255
557	546.6620235
558	546.6291347
559	546.5963462
560	546.5234131
561	546.517136
562	546.5079617
563	546.4706822
564	546.445974
565	546.3911751
566	546.3122122
567	546.2792652
568	546.2130418
569	546.1420207
570	546.0943809
571	546.0303376
572	545.9642177
573	545.9154004
574	545.8530816
575	545.823294
576	545.7749022
577	545.6608345
578	545.6298675
579	545.5951295
580	545.5420468
581	545.451165
582	545.4178039
583	545.3846192
584	545.3468956
585	545.2914164
586	545.2501133
587	545.2106027
588	545.1700448
589	545.1146215
590	545.0294327
591	545.0035543
592	544.9733714
593	544.9460618
594	544.9080814
595	544.884011
596	544.8645884
597	544.7508961
598	544.6494764
599	544.6037219
600	544.521571
601	544.4753104
602	544.4164941
603	544.3740211
604	544.3565423
605	544.3246787
606	544.2963233
607	544.261656
608	544.1644194
609	544.0557671
610	543.9836713
611	543.9470052
612	543.8904738
613	543.8313221
614	543.7695175
615	543.7172102
616	543.7105881
617	543.6580442
618	543.6204487
619	543.570187
620	543.4665409
621	543.4404391
622	543.4148825
623	543.4021373
624	543.3114076
625	543.2430523
626	543.216979
627	543.1655236
628	543.1012985
629	542.9950789
630	542.9337651
631	542.8801781
632	542.8617196
633	542.8534269
634	542.8526972
635	542.8280469
636	542.8139582
637	542.7721779
638	542.7380444
639	542.7297985
640	542.696135
641	542.6562409
642	542.5814303
643	542.5623594
644	542.4879418
645	542.4268382
646	542.4042418
647	542.357766
648	542.280389
649	542.2155203
650	542.1273284
651	542.112818
652	542.0996824
653	542.0726326
654	542.034559
655	541.9663061
656	541.9291621
657	541.906338
658	541.8860153
659	541.8693454
660	541.8573928
661	541.8313277
662	541.8053353
663	541.8003378
664	541.7475887
665	541.6953901
666	541.6716872
667	541.5926774
668	541.5471929
669	541.5318258
670	541.4541516
671	541.4268323
672	541.3819749
673	541.3372042
674	541.3065216
675	541.2765477
676	541.2434204
677	541.2107517
678	541.1662959
679	541.1031979
680	541.0783307
681	541.0514657
682	541.0206939
683	540.9667316
684	540.9206858
685	540.8915982
686	540.8511518
687	540.7756578
688	540.7662186
689	540.7147953
690	540.6306763
691	540.6144186
692	540.6011591
693	540.5604786
694	540.5004406
695	540.4621509
696	540.3911373
697	540.32866
698	540.3064854
699	540.2801489
700	540.256348
701	540.1634308
702	540.1422067
703	540.1025223
704	540.0658996
705	539.9955525
706	539.9682343
707	539.9442748
708	539.8835628
709	539.8580386
710	539.8234743
711	539.813759
712	539.7904787
713	539.7337012
714	539.6991393
715	539.6985423
716	539.6418346
717	539.6171034
718	539.5718773
719	539.474809
720	539.455824
721	539.4171078
722	539.4037993
723	539.385954
724	539.3326584
725	539.2487894
726	539.1937934
727	539.1684191
728	539.0846696
729	539.0597575
730	539.0321829
731	539.008545
732	538.9610918
733	538.9233811
734	538.8988372
735	538.8071585
736	538.7590262
737	538.7269554
738	538.6536293
739	538.6190333
740	538.5928936
741	538.57015
742	538.4828376
743	538.4060348
744	538.3827827
745	538.3131307
746	538.2907823
747	538.2375259
748	538.1829511
749	538.1679981
750	538.1223193
751	538.0817111
752	538.0500308
753	538.0267166
754	538.0115107
755	537.9517489
756	537.9225289
757	537.8986462
758	537.8795849
759	537.840619
760	537.7952064
761	537.7717282
762	537.7330066
763	537.6752961
764	537.6104687
765	537.5617938
766	537.4827718
767	537.4323879
768	537.3886542
769	537.3524756
770	537.3048668
771	537.258904
772	537.2246888
773	537.2133383
774	537.1923239
775	537.1351285
776	537.0921239
777	537.0491012
778	536.9778632
779	536.9382638
780	536.9195123
781	536.9019711
782	536.8037345
783	536.7747238
784	536.747892
785	536.6856842
786	536.6408001
787	536.5778516
788	536.5522029
789	536.5320562
790	536.4552466
791	536.4154617
792	536.3818319
793	536.3604074
794	536.2911595
795	536.2230526
796	536.1140956
797	536.0735009
798	536.0248311
799	536.0040592
800	535.9123856
801	535.9045693
802	535.8310022
803	535.7923194
804	535.7715978
805	535.7711271
806	535.6678286
807	535.6513827
808	535.5263052
809	535.4934716
810	535.4603955
811	535.3866817
812	535.3526917
813	535.3006776
814	535.2261505
815	535.1980845
816	535.1297621
817	535.0729689
818	535.0116991
819	534.9754786
820	534.9579049
821	534.8832947
822	534.867131
823	534.8302771
824	534.7680476
825	534.7150631
826	534.6560962
827	534.6039837
828	534.5655335
829	534.5446011
830	534.4973143
831	534.4676259
832	534.4467883
833	534.4175107
834	534.3557191
835	534.3416285
836	534.2373869
837	534.1446614
838	534.0792776
839	534.0183973
840	533.9982887
841	533.956305
842	533.9156551
843	533.8740642
844	533.8368371
845	533.8218948
846	533.8134074
847	533.7043298
848	533.6728465
849	533.5952518
850	533.5359665
851	533.4526528
852	533.452415
853	533.403495
854	533.3699311
855	533.3695536
856	533.3024856
857	533.2853371
858	533.241176
859	533.2122773
860	533.2073164
861	533.1416535
862	533.103895
863	533.0796482
864	533.0485412
865	533.0035228
866	532.9292781
867	532.8716492
868	532.8482266
869	532.828778
870	532.7626211
871	532.7620959
872	532.7335206
873	532.7333044
874	532.7171096
875	532.6565935
876	532.631029
877	532.5662034
878	532.5034963
879	532.4748076
880	532.4572758
881	532.443345
882	532.3859359
883	532.3623697
884	532.335528
885	532.28173
886	532.2378831
887	532.1593637
888	532.1321526
889	532.0933248
890	531.9869717
891	531.9051551
892	531.8572168
893	531.8395748
894	531.8254508
895	531.7829286
896	531.7707142
897	531.6950959
898	531.6733708
899	531.6202466
900	531.5700984
901	531.5521666
902	531.4891658
903	531.4649448
904	531.371642
905	531.324563
906	531.2853291
907	531.2312569
908	531.2148516
909	531.163042
910	531.1237634
911	531.0757681
912	531.0157821
913	530.9682868
914	530.8959641
915	530.83737
916	530.8219255
917	530.7842736
918	530.7073212
919	530.5853313
920	530.5454153
921	530.5135463
922	530.4650591
923	530.4131093
924	530.387161
925	530.3813497
926	530.3203224
927	530.2942188
928	530.2609184
929	530.1945576
930	530.1591779
931	530.0917835
932	530.0428583
933	530.0279334
934	530.0004514
935	529.9840473
936	529.93859
937	529.8731762
938	529.8118873
939	529.7904318
940	529.7623993
941	529.7208232
942	529.6310926
943	529.6081657
944	529.5964689
945	529.571611
946	529.5145587
947	529.4568547
948	529.3927951
