iter	Passed	Remaining
0	67	98438
1	75	54836
2	82	40046
3	90	32645
4	96	27965
5	103	24982
6	110	22853
7	118	21285
8	125	20066
9	132	19049
10	138	18194
11	146	17511
12	153	16961
13	160	16452
14	167	16063
15	177	15884
16	185	15653
17	192	15350
18	199	15050
19	214	15371
20	221	15100
21	228	14857
22	236	14708
23	247	14738
24	256	14612
25	269	14782
26	276	14577
27	284	14458
28	295	14477
29	302	14349
30	310	14244
31	319	14151
32	325	13969
33	330	13776
34	337	13649
35	344	13522
36	350	13394
37	357	13303
38	364	13197
39	371	13091
40	378	13012
41	385	12934
42	393	12883
43	399	12779
44	405	12684
45	412	12601
46	419	12522
47	427	12483
48	433	12405
49	441	12376
50	448	12303
51	453	12208
52	459	12122
53	466	12061
54	472	11997
55	479	11941
56	485	11876
57	492	11823
58	499	11781
59	505	11722
60	512	11674
61	518	11624
62	525	11577
63	532	11541
64	539	11503
65	546	11472
66	553	11432
67	559	11377
68	565	11326
69	572	11286
70	578	11245
71	585	11208
72	591	11162
73	597	11117
74	603	11072
75	609	11025
76	615	10986
77	622	10951
78	628	10908
79	634	10877
80	641	10848
81	649	10843
82	658	10845
83	665	10828
84	671	10793
85	679	10779
86	685	10744
87	692	10732
88	698	10692
89	706	10676
90	713	10662
91	720	10648
92	727	10627
93	735	10616
94	742	10591
95	749	10572
96	756	10566
97	763	10545
98	770	10525
99	778	10516
100	785	10494
101	793	10492
102	799	10467
103	805	10438
104	812	10411
105	818	10387
106	825	10365
107	831	10341
108	837	10306
109	846	10317
110	858	10367
111	872	10426
112	884	10473
113	896	10515
114	911	10594
115	924	10637
116	939	10706
117	951	10751
118	960	10749
119	971	10774
120	984	10818
121	997	10868
122	1011	10923
123	1024	10968
124	1038	11014
125	1050	11047
126	1065	11107
127	1078	11149
128	1094	11213
129	1107	11256
130	1124	11328
131	1136	11352
132	1147	11372
133	1160	11409
134	1178	11489
135	1191	11523
136	1199	11509
137	1214	11555
138	1222	11535
139	1231	11535
140	1238	11507
141	1244	11475
142	1251	11445
143	1257	11412
144	1271	11449
145	1277	11419
146	1286	11412
147	1292	11382
148	1298	11348
149	1305	11321
150	1317	11342
151	1329	11363
152	1341	11377
153	1353	11400
154	1365	11415
155	1378	11446
156	1391	11464
157	1404	11491
158	1417	11521
159	1433	11565
160	1447	11597
161	1460	11619
162	1474	11654
163	1487	11674
164	1502	11707
165	1516	11738
166	1528	11755
167	1543	11786
168	1555	11796
169	1562	11771
170	1580	11830
171	1592	11842
172	1604	11854
173	1616	11864
174	1629	11877
175	1636	11855
176	1644	11833
177	1651	11810
178	1658	11786
179	1664	11756
180	1671	11728
181	1678	11701
182	1685	11681
183	1692	11654
184	1699	11627
185	1705	11597
186	1713	11579
187	1720	11558
188	1727	11537
189	1733	11507
190	1740	11482
191	1747	11459
192	1755	11440
193	1761	11412
194	1768	11392
195	1776	11372
196	1782	11345
197	1788	11318
198	1796	11300
199	1804	11285
200	1810	11261
201	1816	11234
202	1823	11210
203	1830	11188
204	1838	11176
205	1845	11151
206	1851	11129
207	1859	11113
208	1866	11094
209	1874	11075
210	1880	11050
211	1887	11031
212	1895	11014
213	1901	10991
214	1908	10972
215	1916	10956
216	1923	10940
217	1930	10918
218	1937	10899
219	1944	10879
220	1952	10864
221	1959	10848
222	1966	10828
223	1973	10808
224	1980	10790
225	1987	10772
226	1995	10761
227	2002	10743
228	2010	10729
229	2016	10707
230	2023	10686
231	2031	10675
232	2038	10658
233	2045	10640
234	2051	10617
